"PC1","PC2","name","gender","decade"
-31.9075589208136,-44.3780840016515,"John","male","1780s"
-7.7323280772013,-10.4272800040387,"William","male","1780s"
-0.65243135613833,-3.32444885108399,"James","male","1780s"
-12.9187643615328,-10.4253871174878,"George","male","1780s"
-0.643001407580826,-2.32657142275009,"Charles","male","1780s"
4.01461612116485,2.96541961944105,"Frank","male","1780s"
2.52155700602452,0.860165407426579,"Joseph","male","1780s"
-0.849086304046078,-4.84847456732214,"Henry","male","1780s"
1.80631737537664,0.349743195422262,"Robert","male","1780s"
0.896725539856576,-2.90570442095362,"Thomas","male","1780s"
3.06898863930786,1.93516844932576,"Edward","male","1780s"
2.94021293402473,1.00541363360758,"Arthur","male","1780s"
0.520250617895326,-4.71192319839587,"Samuel","male","1780s"
-0.747021403187106,0.940102744202983,"Louis","male","1780s"
1.65296449276971,-0.267301478096886,"David","male","1780s"
0.844413654796571,-3.29911956877897,"Richard","male","1780s"
3.29569490537575,2.29602405845831,"Roy","male","1780s"
-533.252424031909,116.32438552524,"Will","male","1780s"
3.35695012874469,-1.908574930444,"Andrew","male","1780s"
4.85562904084746,2.29976076804307,"Jesse","male","1780s"
4.58108782396188,2.17570623332241,"Daniel","male","1780s"
4.19302036729636,1.79104941719783,"Benjamin","male","1780s"
5.25876565057733,2.3727261430495,"Sam","male","1780s"
3.75191669130621,1.40181569895716,"Earl","male","1780s"
4.106897380364,0.323331772894555,"Peter","male","1780s"
3.20130597423198,-0.432158979833971,"Elmer","male","1780s"
3.71283549464572,-1.74345206399315,"Frederick","male","1780s"
3.98352174441065,2.68371968061204,"Howard","male","1780s"
3.12132951006119,2.38188759405234,"Lewis","male","1780s"
4.58591112121855,1.81342374898033,"Ralph","male","1780s"
4.98751465218103,2.27960138134149,"Herbert","male","1780s"
3.29615506344419,1.46859468456715,"Paul","male","1780s"
-5.68259677587483,-8.37020806644864,"Lee","male","1780s"
5.00533076243549,2.06877903225371,"Tom","male","1780s"
3.61463891404023,1.127301372078,"Martin","male","1780s"
3.74227092922868,1.27301290901859,"Jacob","male","1780s"
2.46225588418012,1.75495501185226,"Michael","male","1780s"
3.51585298720244,1.963222655769,"Ben","male","1780s"
4.33948729146817,2.01740691453605,"Francis","male","1780s"
5.01344554177109,2.40297167449742,"Raymond","male","1780s"
5.18358875698307,2.31655145460098,"Harvey","male","1780s"
5.13297401128275,2.49679071209809,"Edgar","male","1780s"
-61.9923307134108,-28.5621325985106,"Ed","male","1780s"
4.33117715632047,0.702451499376269,"Lawrence","male","1780s"
4.54507065978917,2.0568092622622,"Chester","male","1780s"
4.46324586531255,1.54357185454738,"Jack","male","1780s"
2.1986396275565,-3.46413060513458,"Floyd","male","1780s"
3.46086676510974,0.639356540930187,"Ray","male","1780s"
4.88109497011941,2.17993897534106,"Hugh","male","1780s"
3.18549344221137,0.659457159548675,"Isaac","male","1780s"
3.33542955488615,0.24050329902938,"Oliver","male","1780s"
5.17950922226203,2.40262186381117,"Patrick","male","1780s"
2.37819621699942,3.00454959880732,"Homer","male","1780s"
5.00752889354703,2.17648643545472,"Theodore","male","1780s"
2.9009377150342,-0.881556175919798,"Leonard","male","1780s"
4.58307331916016,2.22976086152782,"Leo","male","1780s"
4.21553500512585,0.433284935587869,"Alexander","male","1780s"
-6.9760315231342,-12.5679786015692,"August","male","1780s"
3.39386893119598,2.22860552694786,"Allen","male","1780s"
3.01155556292442,1.45749179441462,"Philip","male","1780s"
4.3401194911993,2.19518784487543,"Stephen","male","1780s"
4.14650157175675,2.28880528485956,"Horace","male","1780s"
5.08746173791307,2.50342454346668,"Bernard","male","1780s"
5.11118471571227,2.43351495292373,"Anthony","male","1780s"
4.81017760325618,1.94836052573494,"Julius","male","1780s"
3.88351952598402,1.834862554855,"Warren","male","1780s"
5.10818378146958,2.25675931060299,"Clifford","male","1780s"
4.59414854652402,1.30917521068601,"Sidney","male","1780s"
3.73115393269261,3.4107584837817,"Milton","male","1780s"
3.99117360707242,2.28752732400846,"Dan","male","1780s"
4.52872703202703,2.1136205527904,"Willis","male","1780s"
4.93730728882215,2.06143376738253,"Leslie","androgynous","1780s"
4.63336252333818,1.38811257493781,"Rufus","male","1780s"
5.08627994072679,2.40829806816477,"Victor","male","1780s"
4.3616000597774,2.46080724501085,"Calvin","male","1780s"
5.24482884977628,2.35470895051034,"Harrison","male","1780s"
5.22510995362505,2.55334403531278,"Nathan","male","1780s"
3.538597015401,1.66964202666245,"Franklin","male","1780s"
4.57617848082661,1.83819923649573,"Matthew","male","1780s"
3.87639766445783,1.67516962904703,"Earnest","male","1780s"
4.82144451687632,2.14572799422795,"Russell","male","1780s"
4.95818473801196,2.17520418863624,"Adam","male","1780s"
3.48062898629209,0.169836655208439,"Jay","male","1780s"
4.09283382433721,-0.691365423281775,"Otis","male","1780s"
5.19638870248495,2.48672051873027,"Ross","male","1780s"
5.14822833358871,2.51893033944632,"Willard","male","1780s"
-1.71657983086458,0.439848618287479,"Mark","male","1780s"
5.15453620179937,2.32530202547958,"Cornelius","male","1780s"
5.14573787955993,2.04293610920765,"Aaron","male","1780s"
5.13287995349813,2.50847373747709,"Phillip","male","1780s"
2.27334237811723,-0.776934632488282,"Morris","male","1780s"
4.24592862864098,1.17351905856988,"Clinton","male","1780s"
4.8555304774081,2.22473759175958,"Moses","male","1780s"
4.93773258931865,2.26051245892901,"Elijah","male","1780s"
5.27399260850798,2.472987900123,"Simon","male","1780s"
4.79478031420293,2.36728442105869,"Virgil","male","1780s"
4.83796300355734,2.83418717942556,"Marshall","male","1780s"
